Informações abaixo são de Histórico de alertas já RESOLVIDOS.

2024-12-16 18:45:37 | Host: DVR - Nova Esperanca | Severity: High | Status: RESOLVED | Event ID: 31432 | Name: Sem comunicação com porta a porta 9191 do DVR. | IP: 127.0.0.1 | DNS: jbsrpreto1.ddns-intelbras.com.br
2024-12-16 17:01:37 | Host: Monitoramento-Antenas | Severity: High | Status: RESOLVED | Event ID: 31430 | Name: Antena Goiânia - GO - | IP: 127.0.0.1 | DNS: 
2024-12-16 16:34:36 | Host: Monitoramento-Antenas | Severity: High | Status: RESOLVED | Event ID: 31428 | Name: Antena Goiânia - GO - | IP: 127.0.0.1 | DNS: 
2024-12-16 16:07:35 | Host: Monitoramento-Antenas | Severity: High | Status: RESOLVED | Event ID: 31422 | Name: Antena Goiânia - GO - | IP: 127.0.0.1 | DNS: 
2024-12-16 15:58:37 | Host: Monitoramento-Antenas | Severity: High | Status: RESOLVED | Event ID: 31420 | Name: Antena Goiânia - GO - | IP: 127.0.0.1 | DNS: 
2024-12-16 15:49:35 | Host: Monitoramento-Antenas | Severity: High | Status: RESOLVED | Event ID: 31418 | Name: Antena Goiânia - GO - | IP: 127.0.0.1 | DNS: 
2024-12-16 15:19:36 | Host: Monitoramento-Antenas | Severity: High | Status: RESOLVED | Event ID: 31416 | Name: Antena Goiânia - GO - | IP: 127.0.0.1 | DNS: 
2024-12-16 15:13:36 | Host: Monitoramento-Antenas | Severity: High | Status: RESOLVED | Event ID: 31414 | Name: Antena Goiânia - GO - | IP: 127.0.0.1 | DNS: 
2024-12-16 15:04:36 | Host: Monitoramento-Antenas | Severity: High | Status: RESOLVED | Event ID: 31412 | Name: Antena Goiânia - GO - | IP: 127.0.0.1 | DNS: 
2024-12-16 14:55:35 | Host: Monitoramento-Antenas | Severity: High | Status: RESOLVED | Event ID: 31410 | Name: Antena Goiânia - GO - | IP: 127.0.0.1 | DNS: 
2024-12-16 14:37:46 | Host: DVR - Campo Verde | Severity: High | Status: RESOLVED | Event ID: 31407 | Name: Sem comunicação com porta a porta 9191 do DVR. | IP: 127.0.0.1 | DNS: jbssorocaba001.ddns-intelbras.com.br
2024-12-16 14:34:36 | Host: Monitoramento-Antenas | Severity: High | Status: RESOLVED | Event ID: 31406 | Name: Antena Goiânia - GO - | IP: 127.0.0.1 | DNS: 
2024-12-16 14:28:36 | Host: Monitoramento-Antenas | Severity: High | Status: RESOLVED | Event ID: 31404 | Name: Antena Goiânia - GO - | IP: 127.0.0.1 | DNS: 
2024-12-16 14:22:35 | Host: Monitoramento-Antenas | Severity: High | Status: RESOLVED | Event ID: 31402 | Name: Antena Goiânia - GO - | IP: 127.0.0.1 | DNS: 
2024-12-16 14:16:35 | Host: Monitoramento-Antenas | Severity: High | Status: RESOLVED | Event ID: 31400 | Name: Antena Goiânia - GO - | IP: 127.0.0.1 | DNS: 
2024-12-16 13:19:37 | Host: Monitoramento-Antenas | Severity: High | Status: RESOLVED | Event ID: 31396 | Name: Antena Goiânia - GO - | IP: 127.0.0.1 | DNS: 
2024-12-16 13:04:36 | Host: Monitoramento-Antenas | Severity: High | Status: RESOLVED | Event ID: 31394 | Name: Antena Goiânia - GO - | IP: 127.0.0.1 | DNS: 
2024-12-16 13:01:52 | Host: DVR - Estrela do Mar | Severity: High | Status: RESOLVED | Event ID: 31393 | Name: Sem comunicação porta com a porta 37777 do DVR. | IP: 127.0.0.1 | DNS: jbsmarajoara11.ddns-intelbras.com.br
2024-12-16 13:01:41 | Host: DVR - Estrela do Mar | Severity: High | Status: RESOLVED | Event ID: 31392 | Name: Sem comunicação com porta a porta 9191 do DVR. | IP: 127.0.0.1 | DNS: jbsmarajoara11.ddns-intelbras.com.br
2024-12-16 12:37:47 | Host: DVR - Campo Verde | Severity: High | Status: RESOLVED | Event ID: 31389 | Name: Sem comunicação com porta a porta 9191 do DVR. | IP: 127.0.0.1 | DNS: jbssorocaba001.ddns-intelbras.com.br
2024-12-16 12:25:57 | Host: DVR - Campo Verde | Severity: High | Status: RESOLVED | Event ID: 31387 | Name: Sem comunicação porta com a porta 37777 do DVR. | IP: 127.0.0.1 | DNS: jbssorocaba001.ddns-intelbras.com.br
2024-12-16 11:55:35 | Host: Monitoramento-Antenas | Severity: High | Status: RESOLVED | Event ID: 31386 | Name: Antena Goiânia - GO - | IP: 127.0.0.1 | DNS: 
2024-12-16 11:46:35 | Host: Monitoramento-Antenas | Severity: High | Status: RESOLVED | Event ID: 31384 | Name: Antena Goiânia - GO - | IP: 127.0.0.1 | DNS: 
2024-12-16 11:31:36 | Host: Monitoramento-Antenas | Severity: High | Status: RESOLVED | Event ID: 31382 | Name: Antena Goiânia - GO - | IP: 127.0.0.1 | DNS: 
2024-12-16 10:37:36 | Host: Monitoramento-Antenas | Severity: High | Status: RESOLVED | Event ID: 31380 | Name: Antena Goiânia - GO - | IP: 127.0.0.1 | DNS: 
2024-12-16 10:28:36 | Host: Monitoramento-Antenas | Severity: High | Status: RESOLVED | Event ID: 31378 | Name: Antena Goiânia - GO - | IP: 127.0.0.1 | DNS: 
2024-12-16 10:13:36 | Host: Monitoramento-Antenas | Severity: High | Status: RESOLVED | Event ID: 31376 | Name: Antena Goiânia - GO - | IP: 127.0.0.1 | DNS: 
2024-12-16 10:01:36 | Host: Monitoramento-Antenas | Severity: High | Status: RESOLVED | Event ID: 31374 | Name: Antena Goiânia - GO - | IP: 127.0.0.1 | DNS: 
2024-12-16 09:52:35 | Host: Monitoramento-Antenas | Severity: High | Status: RESOLVED | Event ID: 31372 | Name: Antena Goiânia - GO - | IP: 127.0.0.1 | DNS: 
2024-12-16 09:40:36 | Host: Monitoramento-Antenas | Severity: High | Status: RESOLVED | Event ID: 31370 | Name: Antena Goiânia - GO - | IP: 127.0.0.1 | DNS: 
2024-12-16 09:31:36 | Host: Monitoramento-Antenas | Severity: High | Status: RESOLVED | Event ID: 31368 | Name: Antena Goiânia - GO - | IP: 127.0.0.1 | DNS: 
2024-12-16 09:19:36 | Host: Monitoramento-Antenas | Severity: High | Status: RESOLVED | Event ID: 31366 | Name: Antena Goiânia - GO - | IP: 127.0.0.1 | DNS: 
2024-12-16 08:55:36 | Host: Monitoramento-Antenas | Severity: High | Status: RESOLVED | Event ID: 31364 | Name: Antena Goiânia - GO - | IP: 127.0.0.1 | DNS: 
2024-12-16 08:37:35 | Host: Monitoramento-Antenas | Severity: High | Status: RESOLVED | Event ID: 31362 | Name: Antena Goiânia - GO - | IP: 127.0.0.1 | DNS: 
2024-12-16 08:22:36 | Host: Monitoramento-Antenas | Severity: High | Status: RESOLVED | Event ID: 31360 | Name: Antena Goiânia - GO - | IP: 127.0.0.1 | DNS: 
2024-12-16 03:01:35 | Host: Monitoramento-Antenas | Severity: High | Status: RESOLVED | Event ID: 31255 | Name: Antena Salvador - BA - | IP: 127.0.0.1 | DNS: 
2024-12-16 02:26:39 | Host: DVR - Vila do Sol | Severity: High | Status: RESOLVED | Event ID: 31251 | Name: Sem comunicação com porta a porta 9191 do DVR. | IP: 127.0.0.1 | DNS: jbscampobelo100.ddns-intelbras.com.br
2024-12-15 23:00:53 | Host: DVR - Vale das Aguas | Severity: High | Status: RESOLVED | Event ID: 31244 | Name: Sem comunicação porta com a porta 37777 do DVR. | IP: 127.0.0.1 | DNS: jbsklabin10.ddns-intelbras.com.br
2024-12-15 23:00:42 | Host: DVR - Vale das Aguas | Severity: High | Status: RESOLVED | Event ID: 31243 | Name: Sem comunicação com porta a porta 9191 do DVR. | IP: 127.0.0.1 | DNS: jbsklabin10.ddns-intelbras.com.br
2024-12-15 14:02:48 | Host: DVR - Nova Esperanca | Severity: High | Status: RESOLVED | Event ID: 31241 | Name: Sem comunicação porta com a porta 37777 do DVR. | IP: 127.0.0.1 | DNS: jbsrpreto1.ddns-intelbras.com.br
2024-12-15 13:59:37 | Host: DVR - Nova Esperanca | Severity: High | Status: RESOLVED | Event ID: 31239 | Name: Sem comunicação com porta a porta 9191 do DVR. | IP: 127.0.0.1 | DNS: jbsrpreto1.ddns-intelbras.com.br
2024-12-15 13:22:37 | Host: DVR - Nova Esperanca | Severity: High | Status: RESOLVED | Event ID: 31237 | Name: Sem comunicação com porta a porta 9191 do DVR. | IP: 127.0.0.1 | DNS: jbsrpreto1.ddns-intelbras.com.br
2024-12-15 13:13:57 | Host: DVR - Campo Verde | Severity: High | Status: RESOLVED | Event ID: 31235 | Name: Sem comunicação porta com a porta 37777 do DVR. | IP: 127.0.0.1 | DNS: jbssorocaba001.ddns-intelbras.com.br
2024-12-15 12:06:31 | Host: Monitoramentos-Web | Severity: High | Status: RESOLVED | Event ID: 31233 | Name: WebSite GLMonitoria - falha de acesso. | IP: 127.0.0.1 | DNS: 
2024-12-15 09:53:57 | Host: DVR - Campo Verde | Severity: High | Status: RESOLVED | Event ID: 31129 | Name: Sem comunicação porta com a porta 37777 do DVR. | IP: 127.0.0.1 | DNS: jbssorocaba001.ddns-intelbras.com.br
2024-12-15 07:47:46 | Host: DVR - Campo Verde | Severity: High | Status: RESOLVED | Event ID: 31127 | Name: Sem comunicação com porta a porta 9191 do DVR. | IP: 127.0.0.1 | DNS: jbssorocaba001.ddns-intelbras.com.br
2024-12-15 05:49:48 | Host: DVR - Nova Esperanca | Severity: High | Status: RESOLVED | Event ID: 31124 | Name: Sem comunicação porta com a porta 37777 do DVR. | IP: 127.0.0.1 | DNS: jbsrpreto1.ddns-intelbras.com.br
2024-12-15 05:49:37 | Host: DVR - Nova Esperanca | Severity: High | Status: RESOLVED | Event ID: 31123 | Name: Sem comunicação com porta a porta 9191 do DVR. | IP: 127.0.0.1 | DNS: jbsrpreto1.ddns-intelbras.com.br
2024-12-15 05:01:36 | Host: Monitoramento-Antenas | Severity: High | Status: RESOLVED | Event ID: 31112 | Name: Antena Recife - PE - | IP: 127.0.0.1 | DNS: 
2024-12-15 04:58:36 | Host: Monitoramento-Antenas | Severity: High | Status: RESOLVED | Event ID: 31111 | Name: Antena São Paulo - SP - | IP: 127.0.0.1 | DNS: 
2024-12-15 03:53:44 | Host: DVR - Praia Branca | Severity: High | Status: RESOLVED | Event ID: 31107 | Name: Sem comunicação com porta a porta 9191 do DVR. | IP: 127.0.0.1 | DNS: jbspirituba100.ddns-intelbras.com.br
2024-12-15 03:01:36 | Host: Monitoramento-Antenas | Severity: High | Status: RESOLVED | Event ID: 31100 | Name: Antena Salvador - BA - | IP: 127.0.0.1 | DNS: 
2024-12-15 03:01:36 | Host: Monitoramento-Antenas | Severity: High | Status: RESOLVED | Event ID: 31099 | Name: Antena Belo Horizonte - MG | IP: 127.0.0.1 | DNS: 
2024-12-14 23:00:53 | Host: DVR - Vale das Aguas | Severity: High | Status: RESOLVED | Event ID: 30994 | Name: Sem comunicação porta com a porta 37777 do DVR. | IP: 127.0.0.1 | DNS: jbsklabin10.ddns-intelbras.com.br
2024-12-14 23:00:42 | Host: DVR - Vale das Aguas | Severity: High | Status: RESOLVED | Event ID: 30993 | Name: Sem comunicação com porta a porta 9191 do DVR. | IP: 127.0.0.1 | DNS: jbsklabin10.ddns-intelbras.com.br
2024-12-14 21:01:35 | Host: Monitoramento-Antenas | Severity: High | Status: RESOLVED | Event ID: 30986 | Name: Antena Belo Horizonte - MG | IP: 127.0.0.1 | DNS: 
2024-12-14 21:01:35 | Host: Monitoramento-Antenas | Severity: High | Status: RESOLVED | Event ID: 30985 | Name: Antena Recife - PE - | IP: 127.0.0.1 | DNS: 
2024-12-14 16:34:54 | Host: DVR - Monte Claro | Severity: High | Status: RESOLVED | Event ID: 30982 | Name: Sem comunicação porta com a porta 37777 do DVR. | IP: 127.0.0.1 | DNS: jbsscmaua10.ddns-intelbras.com.br
2024-12-14 16:34:37 | Host: DVR - Nova Esperanca | Severity: High | Status: RESOLVED | Event ID: 30981 | Name: Sem comunicação com porta a porta 9191 do DVR. | IP: 127.0.0.1 | DNS: jbsrpreto1.ddns-intelbras.com.br
2024-12-14 15:48:57 | Host: DVR - Campo Verde | Severity: High | Status: RESOLVED | Event ID: 30978 | Name: Sem comunicação porta com a porta 37777 do DVR. | IP: 127.0.0.1 | DNS: jbssorocaba001.ddns-intelbras.com.br
2024-12-14 15:48:46 | Host: DVR - Campo Verde | Severity: High | Status: RESOLVED | Event ID: 30977 | Name: Sem comunicação com porta a porta 9191 do DVR. | IP: 127.0.0.1 | DNS: jbssorocaba001.ddns-intelbras.com.br
2024-12-14 15:04:36 | Host: Monitoramento-Antenas | Severity: High | Status: RESOLVED | Event ID: 30973 | Name: Antena Salvador - BA - | IP: 127.0.0.1 | DNS: 
